Sample	CoveredSite	MSIsensor
TCGA-EJ-5519	1759	5.57
TCGA-EJ-5521	1841	3.86
TCGA-EJ-5522	2052	6.58
TCGA-EJ-5524	1954	1.18
TCGA-EJ-5525	2071	5.31
TCGA-EJ-5526	2475	2.99
TCGA-EJ-5527	2240	2.01
TCGA-EJ-5530	2519	2.62
TCGA-EJ-5531	2647	5.48
TCGA-EJ-5532	2399	3.67
TCGA-EJ-5542	2206	2.27
TCGA-EJ-7125	2178	0.00
TCGA-EJ-7317	2243	0.00
TCGA-EJ-7327	2312	1.34
TCGA-EJ-7328	2525	0.63
TCGA-EJ-7331	2752	1.89
TCGA-EJ-7781	2591	0.50
TCGA-EJ-7782	2412	0.70
TCGA-EJ-7784	2317	0.00
TCGA-EJ-7785	2391	1.17
TCGA-EK-A2PL	2097	0.00
TCGA-EK-A2PM	2176	0.09
TCGA-EK-A2R7	2001	0.00
TCGA-EK-A2R8	1756	0.00
TCGA-EK-A2RD	1709	0.06
TCGA-EK-A2RN	1322	0.00
TCGA-EK-A3GJ	1680	0.00
TCGA-EK-A3GM	1640	0.61
TCGA-EK-A3GN	1650	0.24
TCGA-EL-A3T6	2530	0.00
TCGA-EM-A1CS	2684	0.00
TCGA-EM-A1CU	1854	0.00
TCGA-EM-A1CV	1796	0.00
TCGA-EM-A1CW	1365	0.15
TCGA-EM-A1YA	1361	0.29
TCGA-EM-A1YB	1950	0.00
TCGA-EM-A1YC	1220	0.00
TCGA-EM-A1YD	1001	0.00
TCGA-EM-A1YE	1315	0.00
TCGA-EM-A3FR	1508	0.00
TCGA-EM-A3O3	2660	0.00
TCGA-EM-A3O6	2285	0.00
TCGA-EM-A3O7	2720	0.00
TCGA-EM-A3O8	1631	0.00
TCGA-EM-A3O9	1653	0.00
TCGA-EM-A3OA	1948	0.00
TCGA-EM-A3OB	1846	0.00
TCGA-EQ-5647	1733	0.63
TCGA-ER-A193	1175	0.34
TCGA-ER-A194	3813	0.10
TCGA-ER-A196	2221	0.00
TCGA-ER-A197	882	0.68
TCGA-ER-A199	939	1.49
TCGA-ER-A19A	1899	0.00
TCGA-ER-A19D	1988	1.91
TCGA-ER-A19E	2126	2.78
TCGA-ER-A19K	1892	0.63
TCGA-ER-A19L	1572	0.25
TCGA-ER-A19N	1615	0.62
TCGA-ER-A19O	1371	0.80
TCGA-ER-A19Q	1419	4.93
TCGA-ER-A19T	1442	4.72
TCGA-ER-A1A1	1230	0.33
TCGA-ER-A2NC	1230	1.38
TCGA-ER-A2NF	1746	1.78
TCGA-ET-A25K	1130	9.38
TCGA-ET-A25L	1625	0.18
TCGA-ET-A25M	1455	0.00
TCGA-ET-A25N	1350	0.07
TCGA-ET-A25R	2421	0.00
TCGA-EX-A1H6	1848	0.05
TCGA-EX-A3L1	1672	0.18
TCGA-EY-A1GC	2073	0.77
TCGA-F1-6874	5204	0.25
TCGA-FD-A3B3	3083	0.00
TCGA-FD-A3B4	2847	0.21
TCGA-FD-A3B5	3759	0.48
TCGA-FD-A3B6	2947	2.78
TCGA-FD-A3B7	3487	0.00
TCGA-FD-A3B8	3097	0.00
TCGA-FD-A3N5	1148	0.87
TCGA-FD-A3N6	1149	0.00
TCGA-FD-A3NA	2033	0.34
TCGA-FD-A3SJ	1743	0.00
TCGA-FD-A3SL	2007	0.20
TCGA-FD-A3SM	1589	0.38
TCGA-FD-A3SN	1792	2.62
TCGA-FD-A3SO	2714	0.18
TCGA-FD-A3SP	2056	0.00
TCGA-FD-A3SQ	2333	0.00
TCGA-FD-A3SR	1953	1.33
TCGA-FD-A3SS	1972	0.00
TCGA-FE-A22Z	3162	2.15
TCGA-FE-A230	1290	0.16
TCGA-FE-A231	1761	0.40
TCGA-FE-A232	1097	0.36
TCGA-FE-A233	1448	0.00
TCGA-FE-A234	1613	0.00
TCGA-FE-A235	2992	1.54
TCGA-FE-A238	1450	0.14
TCGA-FE-A3PA	2671	0.00
TCGA-FE-A3PB	2487	0.00
TCGA-FE-A3PC	2667	0.00
TCGA-FE-A3PD	2454	0.00
TCGA-FG-5963	2443	0.00
TCGA-FG-6688	947	0.00
TCGA-FG-6689	1308	0.08
TCGA-FG-6690	1557	0.00
TCGA-FG-6691	1394	0.00
TCGA-FG-6692	1357	0.00
TCGA-FG-7636	961	0.00
TCGA-FI-A2CY	1858	0.48
TCGA-FI-A2D0	1680	0.36
TCGA-FI-A2D4	1756	0.97
TCGA-FN-7833	1076	0.00
TCGA-FS-A1YW	1113	1.35
TCGA-FS-A1YX	1432	0.35
TCGA-FS-A1YY	1265	1.66
TCGA-FS-A1Z0	828	0.48
TCGA-FS-A1Z3	3735	0.91
TCGA-FS-A1Z4	3720	0.00
TCGA-FS-A1Z7	3269	0.24
TCGA-FS-A1ZA	3513	0.26
TCGA-FS-A1ZB	1634	0.00
TCGA-FS-A1ZC	1230	6.02
TCGA-FS-A1ZD	1509	0.00
TCGA-FS-A1ZE	1349	0.82
TCGA-FS-A1ZF	1915	1.04
TCGA-FS-A1ZG	1869	0.32
TCGA-FS-A1ZH	2093	0.00
TCGA-FS-A1ZJ	1871	0.59
TCGA-FS-A1ZK	1962	0.66
TCGA-FS-A1ZM	2212	0.00
TCGA-FS-A1ZN	1888	2.33
TCGA-FS-A1ZP	2030	0.64
TCGA-FS-A1ZQ	1875	0.75
TCGA-FS-A1ZR	1496	0.87
TCGA-FS-A1ZS	2567	0.00
TCGA-FS-A1ZT	1885	0.16
TCGA-FS-A1ZW	1780	0.00
TCGA-FS-A1ZY	1745	1.15
TCGA-FS-A1ZZ	1737	1.55
TCGA-FT-A3EE	2909	0.24
TCGA-FU-A3EO	1467	0.00
TCGA-FU-A3HY	1924	0.00
TCGA-FU-A3HZ	1542	0.06
TCGA-FU-A3NI	1945	0.05
TCGA-FU-A3TQ	2031	0.00
TCGA-FU-A3TX	1673	0.06
TCGA-FU-A3WB	2229	0.04
TCGA-FU-A3YQ	2001	0.00
TCGA-FY-A3I5	2880	0.00
TCGA-FY-A3ON	1874	0.00
TCGA-FY-A3R6	1809	0.00
TCGA-FY-A3R7	2752	0.00
TCGA-FY-A3R8	2233	0.00
TCGA-FY-A3RA	1900	0.00
TCGA-G2-A2EC	1939	4.13
TCGA-G2-A2EF	1103	0.27
TCGA-G2-A2EJ	2040	0.93
TCGA-G2-A2EK	3518	0.00
TCGA-G2-A2EL	1089	1.93
TCGA-G2-A2ES	2220	1.26
TCGA-G2-A3IB	2354	0.72
TCGA-G2-A3IE	1870	1.76
TCGA-G2-A3VY	2131	0.52
TCGA-G9-6329	3	0.00
TCGA-G9-6332	2523	0.00
TCGA-G9-6333	2345	0.00
TCGA-G9-6336	2351	0.00
TCGA-G9-6338	2430	0.00
TCGA-G9-6342	1774	0.00
TCGA-G9-6343	2164	0.05
TCGA-G9-6348	1970	0.00
TCGA-G9-6351	1539	0.00
TCGA-G9-6353	2045	0.00
TCGA-G9-6356	1661	0.00
TCGA-G9-6361	1980	0.00
TCGA-G9-6362	1773	0.00
TCGA-G9-6363	2537	0.00
TCGA-G9-6364	2046	0.00
TCGA-G9-6365	1364	0.00
TCGA-G9-6367	1671	0.00
TCGA-G9-6370	2179	0.00
TCGA-G9-6371	2324	0.00
TCGA-G9-6373	1585	0.00
TCGA-G9-6377	2064	0.00
TCGA-G9-6378	1893	0.00
TCGA-G9-6384	1381	0.00
TCGA-G9-6385	1682	0.00
TCGA-G9-6494	1790	0.00
TCGA-G9-6496	1516	0.07
TCGA-G9-6499	2212	0.00
TCGA-GC-A3BM	2370	0.17
TCGA-GC-A3I6	2407	0.33
TCGA-GC-A3OO	1453	0.55
TCGA-GC-A3RD	1619	4.01
TCGA-GC-A3WC	1934	0.78
TCGA-GD-A2C5	1475	4.47
TCGA-GD-A3OP	2815	0.00
TCGA-GD-A3OQ	2179	0.00
TCGA-GD-A3OS	1965	1.83
TCGA-GE-A2C6	4580	0.09
TCGA-GF-A2C7	1538	0.07
TCGA-GN-A265	1421	0.00
TCGA-GN-A266	1527	0.07
TCGA-GV-A3JV	1720	1.57
TCGA-GV-A3JW	1940	6.91
TCGA-GV-A3JX	1311	9.00
TCGA-GV-A3JZ	1681	3.09
TCGA-GV-A3QF	2326	0.60
TCGA-GV-A3QG	1734	0.00
TCGA-GV-A3QH	1858	0.48
TCGA-H2-A26U	4678	0.56
TCGA-H2-A3RH	2600	0.08
TCGA-H2-A3RI	1806	0.00
TCGA-H4-A2HQ	1900	3.63
TCGA-H7-7774	1792	7.48
TCGA-HC-7075	2124	1.13
TCGA-HC-7077	2293	1.88
TCGA-HC-7079	2048	0.20
TCGA-HC-7080	2305	1.00
TCGA-HC-7081	2249	0.00
TCGA-HC-7209	2402	0.00
TCGA-HC-7210	2126	0.14
TCGA-HC-7211	2269	0.00
TCGA-HC-7212	2103	0.24
TCGA-HC-7213	2383	0.42
TCGA-HC-7230	2047	0.00
TCGA-HC-7231	2309	3.29
TCGA-HC-7232	2215	0.45
TCGA-HC-7233	2115	0.09
TCGA-HG-A2PA	1539	0.00
TCGA-HI-7168	2140	0.19
TCGA-HI-7169	1783	0.00
TCGA-HI-7170	2154	0.05
TCGA-HI-7171	1898	0.00
TCGA-HM-A3JK	2064	0.00
TCGA-HQ-A2OE	3254	0.95
TCGA-HR-A2OG	1663	0.00
TCGA-HR-A2OH	2063	0.00
TCGA-HT-7468	1823	0.05
TCGA-HT-7472	1584	0.00
TCGA-HT-7473	1786	0.00
TCGA-HT-7475	2028	0.00
TCGA-HT-7476	1741	0.00
TCGA-HT-7481	1763	0.00
TCGA-HT-7601	1110	0.00
TCGA-HT-7604	995	0.00
TCGA-HW-7489	1907	0.26
TCGA-HW-7495	1866	0.00
TCGA-IG-A3I8	2442	0.25
TCGA-IG-A3QL	4374	0.46
TCGA-IG-A3Y9	3292	0.03
TCGA-IG-A3YA	3510	0.00
TCGA-IG-A3YB	2038	0.10
TCGA-IG-A3YC	1782	0.00
TCGA-IG-A4P3	1229	0.00
TCGA-IG-A4QT	2874	0.00
TCGA-IG-A50L	2420	0.00
TCGA-IG-A51D	1917	0.00
TCGA-IG-A5B8	2121	0.09
TCGA-IG-A5S3	1635	0.31
TCGA-IQ-7632	1687	1.19
TCGA-IR-A3L7	1590	2.33
TCGA-IR-A3LA	1862	0.16
TCGA-IR-A3LC	1338	0.00
TCGA-IR-A3LF	2045	1.17
TCGA-IR-A3LH	1715	0.12
TCGA-IR-A3LI	1469	0.00
TCGA-IR-A3LK	1562	0.00
TCGA-IR-A3LL	1201	1.67
TCGA-J8-A3YH	2054	1.95
TCGA-JX-A3PZ	1201	0.75
TCGA-JX-A3Q0	1878	0.75
TCGA-JX-A3Q8	984	0.10
TCGA-K4-A3WS	2833	4.73
TCGA-K4-A3WV	1838	1.09
TCGA-L5-A43C	1866	0.00
TCGA-L5-A43E	3148	0.13
TCGA-L5-A43H	2783	0.43
TCGA-L5-A43I	3355	1.04
TCGA-L5-A43J	2981	0.87
TCGA-L5-A43M	1538	0.07
TCGA-L5-A4OE	1772	0.11
TCGA-L5-A4OF	2024	0.00
TCGA-L5-A4OG	1424	0.00
TCGA-L5-A4OH	1326	0.08
TCGA-L5-A4OI	1107	4.70
TCGA-L5-A4OJ	1281	0.08
TCGA-L5-A4OM	2387	2.43
TCGA-L5-A4ON	3049	1.08
TCGA-L5-A4OP	1412	0.07
TCGA-L5-A4OS	1487	0.00
TCGA-L5-A4OT	1545	0.00
TCGA-L7-A56G	1546	0.00
TCGA-LN-A49K	1874	1.23
TCGA-LN-A49L	1479	0.47
TCGA-LN-A49M	1498	0.00
TCGA-LN-A49N	2633	0.00
TCGA-LN-A49O	3327	1.02
TCGA-LN-A49P	2375	0.13
TCGA-LN-A49R	2295	4.58
TCGA-LN-A49S	2053	1.27
TCGA-LN-A49U	1319	1.21
TCGA-LN-A49V	1463	1.98
TCGA-LN-A49W	1218	0.00
TCGA-LN-A49X	1210	0.00
TCGA-LN-A49Y	1816	8.04
TCGA-LN-A4A2	1881	0.00
TCGA-LN-A4A3	1440	0.00
TCGA-LN-A4A4	1417	0.71
TCGA-LN-A4A6	1252	0.00
TCGA-LN-A4A8	1295	0.00
TCGA-LN-A4MQ	2195	0.82
TCGA-LN-A4MR	1803	0.00
TCGA-LN-A5U5	1439	0.07
TCGA-RZ-AB0B	942	0.00
TCGA-V3-A9ZX	1011	0.10
TCGA-V3-A9ZY	970	0.00
TCGA-V4-A9E7	902	0.00
TCGA-V4-A9E8	1103	0.00
TCGA-V4-A9E9	893	0.00
TCGA-V4-A9EA	992	0.00
TCGA-V4-A9EC	964	0.00
TCGA-V4-A9ED	1056	0.00
TCGA-V4-A9EE	821	0.00
TCGA-V4-A9EF	1762	0.00
TCGA-V4-A9EH	838	0.00
TCGA-V4-A9EI	1444	0.00
TCGA-V4-A9EJ	1159	0.69
TCGA-V4-A9EK	1063	0.00
TCGA-V4-A9EL	2044	0.98
TCGA-V4-A9EM	2632	0.11
TCGA-V4-A9EO	1998	0.00
TCGA-V4-A9ES	1567	0.32
TCGA-V4-A9ET	1607	0.00
TCGA-V4-A9EU	1546	0.52
TCGA-V4-A9EV	1514	0.07
TCGA-V4-A9EW	1720	0.12
TCGA-V4-A9EX	1360	0.00
TCGA-V4-A9EY	1430	0.42
TCGA-V4-A9EZ	1384	0.43
TCGA-V4-A9F0	1249	0.00
TCGA-V4-A9F1	1557	0.00
TCGA-V4-A9F2	1529	0.00
TCGA-V4-A9F3	1627	0.00
TCGA-V4-A9F4	1621	0.37
TCGA-V4-A9F5	1503	0.00
TCGA-V4-A9F7	1389	0.00
TCGA-V4-A9F8	1663	0.00
TCGA-VD-A8K7	1537	0.00
TCGA-VD-A8K8	1301	0.00
TCGA-VD-A8K9	1338	0.00
TCGA-VD-A8KA	1343	0.00
TCGA-VD-A8KB	1203	0.08
TCGA-VD-A8KD	2256	0.00
TCGA-VD-A8KE	2044	0.24
TCGA-VD-A8KF	2333	0.04
TCGA-VD-A8KG	2004	0.20
TCGA-VD-A8KH	1874	0.32
TCGA-VD-A8KJ	2146	0.05
TCGA-VD-A8KL	1545	0.78
TCGA-VD-A8KN	1890	0.21
TCGA-VD-AA8M	2568	1.79
TCGA-VD-AA8O	2058	0.15
TCGA-VD-AA8P	3530	0.03
