Sample	CoveredSite	MSIsensor
TCGA-B7-5818	2672	1.95
TCGA-BA-4074	2265	0.04
TCGA-BA-4075	1178	0.76
TCGA-BA-4076	1680	1.37
TCGA-BA-4077	1988	0.05
TCGA-BA-4078	2061	0.00
TCGA-BA-5149	2128	3.24
TCGA-BA-5151	1640	0.00
TCGA-BA-5153	1535	0.00
TCGA-BA-5555	2084	0.48
TCGA-BA-5557	3255	0.00
TCGA-BA-5558	1989	0.25
TCGA-BA-5559	2326	0.95
TCGA-BB-4223	2113	0.00
TCGA-BB-4224	2144	0.84
TCGA-BB-4225	1971	1.78
TCGA-BF-A1PU	1505	0.07
TCGA-BF-A1PV	1274	1.41
TCGA-BF-A1PX	2113	0.00
TCGA-BF-A1PZ	1619	0.31
TCGA-BF-A1Q0	1710	0.12
TCGA-BG-A0LW	4652	0.24
TCGA-BG-A0LX	1792	4.02
TCGA-BG-A0M0	1843	0.60
TCGA-BG-A0M2	1860	0.75
TCGA-BG-A0M3	1265	4.51
TCGA-BG-A0M4	1671	0.54
TCGA-BG-A0M6	2126	4.80
TCGA-BG-A0M8	1723	1.45
TCGA-BG-A0M9	3348	1.55
TCGA-BG-A0MC	3407	0.09
TCGA-BG-A0MG	1900	0.84
TCGA-BG-A0MO	1865	0.11
TCGA-BG-A0MQ	1679	1.55
TCGA-BG-A0MS	1726	0.00
TCGA-BG-A0MT	1448	0.28
TCGA-BG-A0MU	1785	0.34
TCGA-BG-A0RY	2531	0.28
TCGA-BG-A186	1262	5.94
TCGA-BG-A18A	2579	0.00
TCGA-BH-A0BM	2220	0.00
TCGA-BH-A0DK	1785	0.00
TCGA-BH-A0GY	2530	0.00
TCGA-BH-A0H6	2078	0.00
TCGA-BH-A0H7	2025	0.44
TCGA-BH-A0HB	2344	0.00
TCGA-BH-A0HK	2002	0.00
TCGA-BH-A0HX	1285	0.31
TCGA-BH-A0W5	1444	0.00
TCGA-BJ-A0Z2	1727	0.23
TCGA-BJ-A0Z3	2532	0.00
TCGA-BJ-A0Z5	1536	0.85
TCGA-BJ-A0Z9	1454	0.00
TCGA-BJ-A0ZA	2009	0.10
TCGA-BJ-A0ZB	2051	0.15
TCGA-BJ-A0ZC	3307	0.00
TCGA-BJ-A0ZE	1621	0.12
TCGA-BJ-A0ZF	3267	0.00
TCGA-BJ-A0ZG	3446	0.00
TCGA-BJ-A0ZH	2817	0.00
TCGA-BJ-A0ZJ	1155	0.00
TCGA-BJ-A18Y	1573	0.00
