Sample	CoveredSite	MSIsensorScore
TCGA-34-2596-01A-01D-0963-08	1166596	0.17
TCGA-34-2600-01A-01D-0963-08	810261	0.75
TCGA-34-5240-01A-01D-1441-08	831610	0.11
TCGA-36-1570-01A-01D-A324-10	549940	0.22
TCGA-36-1571-01A-01D-A324-10	449322	0.48
TCGA-36-1574-01A-01D-A324-10	510525	0.40
TCGA-37-4135-01A-01D-A320-08	837281	0.95
TCGA-38-4628-01A-01D-1931-08	590978	0.34
TCGA-38-4628	590978	0.34
TCGA-38-4630-01A-01D-2364-08	714714	0.14
TCGA-41-5651-01A-01D-1696-08	640097	0.02
TCGA-43-3394-01A-01D-1553-08	846817	0.44
TCGA-43-5670-01A-21D-A320-08	830607	0.06
TCGA-44-2659-01A-01D-1931-08	464480	0.04
TCGA-44-2665-01A-01D-0969-08	517930	0.04
TCGA-44-2666-01A-01D-0969-08	515763	0.09
TCGA-44-6148-01A-11D-1753-08	764327	0.04
TCGA-44-6148	764327	0.04
TCGA-44-6775-01C-02D-A46W-08	269455	0.40
TCGA-44-6775	269455	0.40
TCGA-49-4486-01A-01D-1931-08	455384	0.03
TCGA-49-4486	455384	0.03
TCGA-49-4510-01A-01D-1931-08	436002	0.08
TCGA-49-4510	436002	0.08
TCGA-49-4512-01A-21D-1855-08	896241	0.01
TCGA-49-4512	896241	0.01
TCGA-49-6742-01A-11D-1855-08	1155706	0.01
TCGA-49-6742	1155706	0.01
TCGA-50-5930-01A-11D-1753-08	768573	0.00
TCGA-50-5930	768573	0.00
TCGA-50-5932-01A-11D-1753-08	618040	0.06
TCGA-50-5932	618040	0.06
TCGA-50-6591-01A-11D-1753-08	780795	0.79
TCGA-50-6591	780795	0.79
TCGA-50-6597-01A-11D-1855-08	1137354	0.06
TCGA-50-6597	1137354	0.06
TCGA-52-7812-01A-11D-A320-08	1139019	0.03
TCGA-55-1594-01A-01D-0969-08	394553	0.07
TCGA-55-1596-01A-01D-0969-08	367424	0.15
TCGA-55-6972-01A-11D-1945-08	634017	0.08
TCGA-55-6982-01A-11D-1945-08	707781	0.00
TCGA-55-6984-01A-11D-1945-08	514257	0.02
TCGA-55-6986-01A-11D-1945-08	671333	0.00
TCGA-55-7281-01A-11D-2036-08	728243	0.01
TCGA-55-8299-01A-11D-2284-08	891895	0.01
TCGA-56-1622-01A-01D-1521-08	752330	1.14
TCGA-56-7582-01A-11D-A320-08	734331	0.51
TCGA-60-2695-01A-01D-1180-08	792572	0.29
TCGA-60-2698-01A-01D-1522-08	689739	0.04
TCGA-60-2711-01A-01D-0963-08	1156729	0.19
TCGA-60-2713-01A-01D-1522-08	912788	0.05
TCGA-60-2719-01A-01D-1522-08	465074	0.14
TCGA-60-2722-01A-01D-1180-08	891046	0.69
TCGA-60-2724-01A-01D-1522-08	964528	0.01
TCGA-60-2726-01A-01D-1522-08	1141012	0.14
TCGA-61-2000-01A-01D-A324-10	501262	0.38
TCGA-64-1678-01A-01D-1040-01	537291	0.04
TCGA-64-1680-01A-02D-1040-01	492704	0.08
TCGA-66-2744-01A-01D-A320-08	1150941	0.05
TCGA-66-2756-01A-01D-1180-08	817837	0.28
TCGA-66-2757-01A-01D-1180-08	648459	0.16
TCGA-66-2759-01A-01D-A320-08	1150440	0.08
TCGA-66-2766-01A-01D-1180-08	920379	0.98
TCGA-66-2789-01A-01D-A320-08	854311	0.05
TCGA-66-2793-01A-01D-1267-08	863428	1.06
TCGA-66-2795-01A-02D-A320-08	855078	0.05
TCGA-67-3771-01A-01D-0969-08	570923	0.12
TCGA-67-3772-01A-01D-0969-08	631306	0.02
TCGA-67-6215-01A-11D-1753-08	839131	0.19
TCGA-67-6215	839131	0.19
TCGA-68-7755-01A-11D-A320-08	871263	0.43
TCGA-68-8250-01A-11D-2293-08	1032822	0.05
TCGA-73-4659-01A-01D-1931-08	549736	0.01
TCGA-73-4659	549736	0.01
TCGA-73-4666-01A-01D-1931-08	492328	0.07
TCGA-73-4666	492328	0.07
TCGA-75-5147-01A-01D-1625-08	706766	0.03
TCGA-75-5147	706766	0.03
TCGA-75-6203-01A-11D-1753-08	874124	0.04
TCGA-75-7030-01A-11D-1945-08	631172	0.02
TCGA-77-6843-01A-11D-1945-08	757881	0.08
TCGA-77-7139-01A-11D-A320-08	1120026	0.30
TCGA-78-7158-01A-11D-2036-08	645536	0.01
TCGA-78-7535-01A-11D-2063-08	596053	0.16
TCGA-90-7767-01A-11D-A320-08	1048067	0.05
TCGA-91-6840-01A-11D-1945-08	664940	0.16
TCGA-91-6847-01A-11D-1945-08	679680	0.57
TCGA-92-8064-01A-11D-2244-08	1222607	0.01
TCGA-94-7943-01A-11D-A320-08	862013	0.15
TCGA-96-7545-01A-21D-A320-08	797366	0.03
TCGA-97-8171-01A-11D-2284-08	596187	0.01
TCGA-98-8022-01A-11D-2244-08	1285514	0.05
TCGA-A1-A0SM-01A-11D-A19H-09	884218	0.04
TCGA-A2-A04P-01A-31D-A128-09	678534	0.35
TCGA-A2-A04Q-01A-21D-A128-09	879999	0.01
TCGA-A2-A04T-01A-21D-A128-09	816757	0.42
TCGA-A2-A04X-01A-21D-A19H-09	980962	0.01
TCGA-A2-A0CM-01A-31D-A128-09	909248	0.37
TCGA-A2-A0D0-01A-11D-A128-09	711398	0.39
TCGA-A2-A0D1-01A-11D-A19H-09	909204	0.20
TCGA-A2-A0D2-01A-21D-A128-09	1040784	0.05
TCGA-A2-A0D4-01A-11D-A314-09	811730	0.16
TCGA-A2-A0EY-01A-11D-A19H-09	881692	0.05
TCGA-A2-A0YG-01A-21D-A19H-09	705213	0.02
TCGA-A2-A259-01A-11D-A314-09	956183	0.00
TCGA-A2-A25B-01A-11D-A167-09	841934	0.16
TCGA-A2-A3KC-01A-11D-A20S-09	927645	0.00
TCGA-A2-A3Y0-01A-11D-A23C-09	941473	0.03
TCGA-A3-3308-01A-01D-2094-10	821867	0.00
TCGA-A3-3324-01A-01D-2229-08	515638	0.01
TCGA-A3-3363-01A-01D-2094-10	745692	0.17
TCGA-A3-3370-01A-02D-2099-10	931166	0.00
TCGA-A3-3372-01A-01D-2094-10	733486	0.00
TCGA-A3-3387-01A-01D-2102-10	620676	0.00
TCGA-A4-A4ZT-01A-11D-A26P-10	888008	0.01
TCGA-A5-A0G9-01A-11D-A066-09	838956	6.83
TCGA-A5-A0G9	838956	6.83
TCGA-A5-A0GE-01A-11D-A066-09	899559	0.03
TCGA-A5-A0GE	899559	0.03
TCGA-A5-A0GG-01A-11D-A122-09	919543	0.42
TCGA-A5-A0GJ-01A-11D-A325-09	896248	0.21
TCGA-A5-A0GJ	896248	0.21
TCGA-A6-2680-01A-01D-1554-10	695968	0.15
TCGA-A6-2681-01A-01D-1554-10	748796	0.06
TCGA-A6-2683-01A-01D-1554-10	690117	0.99
