Sample	CoveredSite	MSIsensorScore
TCGA-BR-6452-01A-12D-1800-08	555348	23.05
TCGA-BR-6452	555348	23.05
TCGA-BR-6456-01A-11D-1800-08	1183851	0.00
TCGA-BR-6456	1183851	0.00
TCGA-BR-6564-01A-12D-1882-08	715936	0.01
TCGA-BR-6564	715936	0.01
TCGA-BR-7722-01A-31D-2201-08	435751	0.03
TCGA-BR-8373-01A-11D-2340-08	930376	0.17
TCGA-BR-8381-01A-11D-2394-08	981536	0.00
TCGA-BR-8682-01A-11D-2394-08	651235	0.02
TCGA-BR-A4J4-01A-12D-A25D-08	962250	0.02
TCGA-BS-A0TC-01A-11D-A10B-09	913753	0.12
TCGA-BS-A0TC	913753	0.12
TCGA-BS-A0TD-01A-11D-A10B-09	790348	0.01
TCGA-BS-A0TD	790348	0.01
TCGA-BS-A0TE-01A-11D-A10B-09	939267	4.80
TCGA-BS-A0TE	939267	4.80
TCGA-BS-A0TG-01A-32D-A10B-09	912513	0.03
TCGA-BS-A0TG	912513	0.03
TCGA-BS-A0U9-01B-21D-A10M-09	726126	0.25
TCGA-BS-A0V8-01A-11D-A122-09	645810	0.01
TCGA-BT-A20P-01A-11D-A14W-08	710333	0.03
TCGA-BT-A20P	710333	0.03
TCGA-BT-A20Q-01A-11D-A14W-08	629094	0.03
TCGA-BT-A20Q	629094	0.03
TCGA-BT-A20T-01A-11D-A14W-08	782094	0.01
TCGA-BT-A20T	782094	0.01
TCGA-BT-A20V-01A-11D-A14W-08	614876	0.10
TCGA-BT-A2LA-01A-11D-A18F-08	724144	0.18
TCGA-BT-A2LA	724144	0.18
TCGA-BT-A3PH-01A-11D-A21Z-08	599147	0.04
TCGA-BT-A3PH	599147	0.04
TCGA-BT-A3PJ-01A-21D-A21Z-08	569455	0.04
TCGA-BT-A3PJ	569455	0.04
TCGA-BW-A5NO-01A-11D-A27I-10	858042	0.07
TCGA-BW-A5NQ-01A-11D-A27I-10	927179	0.01
TCGA-C4-A0F7-01A-11D-A10S-08	487154	0.19
TCGA-C5-A0TN-01A-21D-A200-09	891738	0.72
TCGA-C5-A1BF-01B-11D-A200-09	921062	0.01
TCGA-C5-A1BJ-01A-11D-A200-09	791725	0.00
TCGA-C5-A1BN-01B-11D-A200-09	780169	0.18
TCGA-C5-A1M8-01A-21D-A200-09	742885	0.34
TCGA-C5-A1M9-01A-11D-A200-09	852175	0.01
TCGA-C5-A1MI-01A-11D-A200-09	897183	0.05
TCGA-C5-A1ML-01A-11D-A200-09	917747	0.22
TCGA-C5-A1MQ-01A-11D-A200-09	738406	0.01
TCGA-C5-A2LT-01A-11D-A18J-09	972803	0.01
TCGA-C5-A2LV-01A-11D-A18J-09	760817	0.25
TCGA-C5-A2LY-01A-31D-A18J-09	876091	0.05
TCGA-C8-A12L-01A-11D-A19H-09	1001454	0.26
TCGA-C8-A12Q-01A-11D-A19H-09	944502	0.03
TCGA-C8-A130-01A-31D-A19H-09	882017	0.21
TCGA-CA-6717-01A-11D-1835-10	852150	0.00
TCGA-CA-6718-01A-11D-1835-10	820313	0.01
TCGA-CC-5260-01A-01D-A12Z-10	687471	0.01
TCGA-CC-5262-01A-01D-A21X-10	744222	0.00
TCGA-CC-A1HT-01A-11D-A12Z-10	656797	0.01
TCGA-CD-5799-01A-11D-1600-08	1101450	0.07
TCGA-CD-5799	1101450	0.07
TCGA-CD-5802-01A-11D-1600-08	1048088	0.04
TCGA-CD-5802	1048088	0.04
TCGA-CD-8529-01A-11D-2340-08	1172039	0.01
TCGA-CF-A27C-01A-11D-A16O-08	736360	0.02
TCGA-CF-A27C	736360	0.02
TCGA-CF-A3MF-01A-12D-A21A-08	470722	0.03
TCGA-CF-A3MF	470722	0.03
TCGA-CG-4442-01A-01D-A290-08	408460	16.04
TCGA-CG-4442	408460	16.04
TCGA-CG-4443-01A-01D-A290-08	448062	0.06
TCGA-CG-4443	448062	0.06
TCGA-CG-4474-01A-02D-A290-08	841319	0.01
TCGA-CG-4474	841319	0.01
TCGA-CG-5723-01A-11D-1600-08	482190	8.92
TCGA-CG-5723	482190	8.92
TCGA-CG-5724-01A-11D-1600-08	1052125	0.71
TCGA-CG-5724	1052125	0.71
TCGA-CG-5730-01A-11D-1600-08	369898	0.15
TCGA-CG-5730	369898	0.15
TCGA-CH-5750-01A-11D-1576-08	808032	0.01
TCGA-CH-5750	808032	0.01
TCGA-CH-5763-01A-11D-1576-08	692486	0.03
TCGA-CH-5763	692486	0.03
TCGA-CH-5771-01A-21D-1576-08	697022	0.01
TCGA-CH-5771	697022	0.01
TCGA-CH-5788-01A-11D-1576-08	883684	0.04
TCGA-CH-5788	883684	0.04
TCGA-CH-5789-01A-11D-1576-08	796301	0.00
TCGA-CH-5789	796301	0.00
TCGA-CJ-4639-01A-01D-2095-10	661441	0.00
TCGA-CJ-4870-01A-01D-2098-10	752912	0.00
TCGA-CJ-4878-01A-01D-2098-10	519178	0.00
TCGA-CJ-4885-01A-01D-2098-10	620997	0.00
TCGA-CJ-4899-01A-01D-2100-10	883780	0.00
TCGA-CJ-4918-01A-01D-2101-10	641528	0.06
TCGA-CJ-5681-01A-11D-1534-10	908954	0.00
TCGA-CJ-5682-01A-11D-2103-10	700708	0.00
TCGA-CJ-6033-01A-11D-2104-10	631208	0.00
TCGA-CN-4741-01A-01D-2268-08	768462	0.07
TCGA-CN-4741	768462	0.07
TCGA-CN-5365-01A-01D-2276-10	696222	0.02
TCGA-CN-5374-01A-01D-2266-10	731628	0.03
TCGA-CN-6011-01A-11D-A32X-10	1048334	1.08
TCGA-CN-6989-01A-11D-A32X-10	1009946	0.01
TCGA-CN-6994-01A-11D-A32X-10	1046089	0.09
TCGA-CQ-6225-01A-11D-A32X-10	947868	1.47
TCGA-CQ-6225	947868	1.47
TCGA-CQ-6228-01A-11D-A32X-10	1010583	0.38
TCGA-CR-5249-01A-01D-2276-10	852825	0.01
TCGA-CR-5250-01A-01D-2276-10	736391	0.00
TCGA-CR-6470-01A-11D-2334-08	749043	0.00
TCGA-CR-6472-01A-11D-2268-08	719588	0.02
TCGA-CR-6480-01A-11D-2268-08	823726	0.02
TCGA-CR-6482-01A-11D-2268-08	860755	0.01
TCGA-CR-6487-01A-11D-2268-08	698398	0.02
TCGA-CR-6491-01A-11D-A32X-10	1007327	0.06
TCGA-CR-7382-01A-11D-A32X-10	1000729	0.01
TCGA-CR-7385-01A-11D-2268-08	748577	0.00
TCGA-CR-7391-01A-11D-2334-08	727478	0.00
TCGA-CR-7404-01A-11D-2334-08	739156	0.01
TCGA-CS-5395-01A-01D-1468-08	554714	0.03
TCGA-CS-6668-01A-11D-1893-08	664165	0.00
TCGA-CS-6669-01A-11D-1893-08	745312	0.01
TCGA-CV-5432-01A-02D-A32X-10	827737	0.42
TCGA-CV-5442-01A-01D-2266-10	821633	1.01
TCGA-CV-5443-01A-01D-2268-08	720853	0.01
TCGA-CV-5973-01A-11D-A32X-10	1004593	0.54
TCGA-CV-5973	1004593	0.54
TCGA-CV-6433-01A-11D-2276-10	655878	0.00
TCGA-CV-6956-01A-21D-A32X-10	927946	0.21
TCGA-CV-6961-01A-21D-2268-08	835822	0.06
TCGA-CV-7090-01A-11D-2276-10	644364	0.01
TCGA-CV-7100-01A-11D-2268-08	686810	0.01
TCGA-CV-7180-01A-11D-2266-10	812069	0.00
TCGA-CV-7255-01A-11D-2276-10	714501	0.22
TCGA-CV-7416-01A-11D-2334-08	672091	0.14
TCGA-CV-7432-01A-11D-A32X-10	1007735	0.05
TCGA-CV-7432	1007735	0.05
TCGA-CW-5585-01A-01D-2103-10	865834	0.00
TCGA-CW-6087-01A-11D-2279-10	773293	0.00
TCGA-CW-6093-01A-11D-2279-10	594867	0.00
TCGA-CX-7086-01A-11D-A32X-10	997362	0.20
TCGA-CZ-4856-01A-02D-2101-10	879935	0.00
TCGA-CZ-5454-01A-01D-2102-10	565195	0.00
TCGA-CZ-5987-01A-11D-2104-10	619316	0.00
TCGA-D1-A16G-01A-31D-A12J-09	966794	0.00
TCGA-D1-A17K-01A-11D-A325-09	897757	0.10
TCGA-D1-A17K	897757	0.10
TCGA-D1-A1NU-01A-11D-A34H-09	593303	0.12
TCGA-D3-A1Q1-06A-21D-A196-08	495229	0.65
TCGA-D3-A3MO-06A-11D-A21A-08	516404	0.06
TCGA-D7-5579-01A-01D-1600-08	969333	0.01
TCGA-D7-5579	969333	0.01
TCGA-D7-6519-01A-11D-1800-08	375444	0.13
TCGA-D7-6519	375444	0.13
TCGA-D7-6527-01A-11D-1800-08	1065252	0.15
TCGA-D7-6527	1065252	0.15
TCGA-D7-6528-01A-11D-1800-08	485119	0.10
TCGA-D7-6528	485119	0.10
TCGA-D7-6815-01A-11D-1882-08	728602	0.05
TCGA-D7-6815	728602	0.05
TCGA-D7-6822-01A-11D-1882-08	851905	0.71
TCGA-D7-6822	851905	0.71
TCGA-D7-8570-01A-11D-2340-08	960820	0.01
TCGA-D7-A4YX-01A-11D-A25D-08	984530	0.02
TCGA-D8-A27F-01A-11D-A16D-09	879589	0.29
TCGA-D8-A27H-01A-11D-A314-09	893375	0.37
TCGA-D9-A148-06A-11D-A19A-08	708079	0.20
TCGA-D9-A148	708079	0.20
TCGA-DA-A1HW-06A-11D-A19A-08	547061	0.03
TCGA-DA-A1HW	547061	0.03
TCGA-DA-A1HY-06A-11D-A19A-08	804996	0.06
TCGA-DA-A1HY	804996	0.06
TCGA-DA-A1I0-06A-11D-A20D-08	807437	0.02
TCGA-DA-A1I2-06A-21D-A19A-08	418745	0.09
TCGA-DA-A1I2	418745	0.09
TCGA-DA-A1I8-06A-11D-A197-08	544103	0.08
TCGA-DA-A1I8	544103	0.08
TCGA-DA-A1IC-06A-11D-A197-08	596271	0.02
TCGA-DA-A1IC	596271	0.02
TCGA-DA-A3F3-06A-11D-A20D-08	682812	0.28
TCGA-DA-A3F5-06A-11D-A20D-08	655255	0.09
TCGA-DA-A3F8-06A-11D-A20D-08	658536	0.02
TCGA-DB-5278-01A-01D-1468-08	619574	0.00
TCGA-DD-A1EB-01A-11D-A12Z-10	817699	0.05
TCGA-DD-A1ED-01A-11D-A152-10	707932	0.00
TCGA-DD-A1EI-01A-11D-A12Z-10	734746	0.00
TCGA-DD-A3A6-01A-11D-A22F-10	867340	0.00
TCGA-DD-A3A8-01A-11D-A22F-10	863896	0.01
TCGA-DD-A3A9-01A-11D-A25V-10	755148	0.02
TCGA-DD-A4NA-01A-11D-A25V-10	716219	0.02
TCGA-DD-A4NB-01A-12D-A25V-10	764957	0.00
TCGA-DD-A4ND-01A-11D-A25V-10	713156	0.00
TCGA-DD-A4NE-01A-11D-A27I-10	1008411	0.19
TCGA-DD-A4NG-01A-11D-A27I-10	844178	0.09
TCGA-DE-A0Y3-01B-11D-A10S-08	1030525	0.00
TCGA-DE-A0Y3	1030525	0.00
TCGA-DE-A3KN-01A-11D-A20C-08	749868	0.01
TCGA-DG-A2KJ-01A-11D-A18J-09	915291	0.12
TCGA-DI-A1NN-01A-11D-A34H-09	978530	0.03
TCGA-DJ-A13L-01A-11D-A21Z-08	1130426	0.00
TCGA-DJ-A13L	1130426	0.00
TCGA-DJ-A13W-01A-11D-A10S-08	842115	0.01
TCGA-DJ-A13W	842115	0.01
TCGA-DJ-A1QL-01A-11D-A14W-08	647931	0.00
TCGA-DJ-A1QL	647931	0.00
TCGA-DJ-A2Q1-01A-22D-A19J-08	1129876	0.00
TCGA-DJ-A2Q2-01A-11D-A19J-08	895312	0.01
TCGA-DJ-A2Q8-01A-11D-A18F-08	723328	0.01
TCGA-DJ-A4UT-01A-11D-A257-08	1140575	0.00
TCGA-DK-A1A5-01A-11D-A13W-08	585800	0.03
TCGA-DK-A1A5	585800	0.03
TCGA-DK-A1A6-01A-11D-A13W-08	637671	0.09
TCGA-DK-A1A6	637671	0.09
TCGA-DK-A1A7-01A-11D-A13W-08	455969	0.10
TCGA-DK-A1A7	455969	0.10
TCGA-DK-A1AE-01A-11D-A13W-08	744051	0.53
TCGA-DK-A1AE	744051	0.53
TCGA-DK-A1AG-01A-11D-A13W-08	660366	0.05
TCGA-DK-A1AG	660366	0.05
TCGA-DK-A3IL-01A-11D-A20D-08	467865	0.03
TCGA-DK-A3IL	467865	0.03
TCGA-DQ-5625-01A-01D-A32X-10	893483	0.03
TCGA-DQ-5625	893483	0.03
TCGA-DQ-5629-01A-01D-A32X-10	1040100	0.10
TCGA-DS-A0VL-01A-21D-A200-09	936450	0.03
TCGA-DU-5874-01A-11D-1705-08	506728	0.01
TCGA-DU-6401-01A-11D-1705-08	848335	0.00
TCGA-DU-6407-01A-13D-1705-08	466350	0.01
TCGA-DU-7009-01A-11D-2024-08	369463	0.02
TCGA-DU-7301-01A-11D-2086-08	492326	0.02
TCGA-DV-5566-01A-01D-2104-10	644934	0.00
TCGA-DX-A1KU-01A-32D-A24N-09	852496	0.03
TCGA-DX-A1KW-01A-22D-A24N-09	755942	0.14
TCGA-DX-A1L0-01A-11D-A24N-09	743904	0.37
TCGA-DX-A1L2-01A-22D-A24N-09	852678	0.02
TCGA-DX-A1L3-01A-11D-A24N-09	785976	0.06
TCGA-DX-A23R-01A-11D-A26G-09	973991	0.15
TCGA-DX-A240-01A-32D-A27P-09	788914	0.06
TCGA-DX-A2IZ-01A-11D-A21Q-09	657202	0.15
TCGA-DX-A2J0-01A-11D-A21Q-09	669526	0.10
TCGA-DX-A2J4-01A-32D-A21Q-09	789293	0.02
TCGA-DX-A3LS-01A-11D-A21Q-09	713135	0.02
TCGA-DX-A3LT-01A-12D-A21Q-09	768021	0.11
TCGA-DX-A3LU-01A-11D-A21Q-09	756267	0.03
TCGA-DX-A3LW-01A-21D-A21Q-09	833193	0.03
TCGA-DX-A3LY-01B-11D-A27P-09	795976	0.07
TCGA-DX-A3M1-01A-11D-A228-09	948500	0.17
TCGA-DX-A3U5-01A-11D-A228-09	766288	0.17
TCGA-DX-A3U6-01A-11D-A29N-09	835390	0.00
TCGA-DX-A3U7-01A-11D-A29N-09	738639	0.67
TCGA-DX-A3U8-01A-11D-A29N-09	674221	0.00
TCGA-E1-5318-01A-01D-1468-08	642014	0.01
TCGA-E1-5319-01A-01D-1893-08	526171	0.00
TCGA-E2-A109-01A-11D-A10M-09	972572	0.10
TCGA-E2-A14P-01A-31D-A19H-09	1035674	0.10
TCGA-E2-A14X-01A-11D-A10Y-09	815522	0.06
TCGA-E2-A152-01A-11D-A19H-09	761998	0.05
TCGA-E2-A156-01A-11D-A314-09	935328	0.05
TCGA-E2-A15E-01A-11D-A19H-09	948900	0.01
TCGA-E2-A15H-01A-11D-A19H-09	896944	0.01
TCGA-E2-A15K-01A-11D-A314-09	633365	0.01
TCGA-E2-A1LG-01A-21D-A14K-09	901184	0.59
TCGA-E2-A1LK-01A-21D-A14G-09	783339	0.64
TCGA-E2-A1LL-01A-11D-A142-09	898819	0.02
TCGA-E6-A1LZ-01A-11D-A142-09	852689	0.07
TCGA-E8-A418-01A-11D-A23M-08	1062596	0.01
TCGA-E9-A1NH-01A-11D-A14G-09	832710	0.00
TCGA-EB-A24D-01A-11D-A197-08	740857	0.73
TCGA-EB-A24D	740857	0.73
TCGA-EE-A185-06A-11D-A196-08	732908	0.85
TCGA-EE-A29B-06A-11D-A197-08	599588	0.02
TCGA-EE-A29B	599588	0.02
TCGA-EE-A2A0-06A-11D-A196-08	491343	0.03
TCGA-EE-A2GN-06A-11D-A196-08	617630	0.08
TCGA-EE-A2GT-06A-12D-A197-08	819660	0.00
TCGA-EE-A2GT	819660	0.00
TCGA-EE-A2M5-06A-12D-A197-08	794633	0.01
TCGA-EE-A2M5	794633	0.01
TCGA-EE-A2MI-06A-11D-A197-08	612748	0.01
TCGA-EE-A2MI	612748	0.01
TCGA-EE-A3J5-06A-11D-A20D-08	759379	0.02
TCGA-EE-A3JI-06A-11D-A21A-08	628131	0.06
TCGA-EI-6917-01A-11D-1924-10	644767	0.01
TCGA-EJ-5503-01A-01D-1576-08	821545	0.00
TCGA-EJ-5503	821545	0.00
TCGA-EJ-5506-01A-01D-1576-08	671206	0.02
TCGA-EJ-5506	671206	0.02
TCGA-EJ-7791-01A-11D-2114-08	672844	0.00
TCGA-EK-A2PK-01A-11D-A18J-09	958132	0.01
TCGA-EK-A2R9-01A-11D-A34H-09	617168	0.24
TCGA-EK-A2RE-01A-11D-A34H-09	655803	0.02
TCGA-EK-A2RL-01A-11D-A34H-09	866771	0.09
TCGA-EK-A2RM-01A-21D-A18J-09	822324	0.26
TCGA-EL-A3CX-01A-11D-A19J-08	700296	0.00
TCGA-EL-A3H1-01A-11D-A21A-08	740446	0.00
TCGA-EL-A3MY-01A-11D-A21A-08	1084821	0.00
TCGA-EL-A3T0-01A-22D-A22D-08	753622	0.00
TCGA-EL-A3T9-01A-21D-A22D-08	712265	0.02
TCGA-EL-A3TB-01A-11D-A22D-08	745087	0.01
TCGA-EL-A4K6-01A-12D-A257-08	1133589	0.00
TCGA-EM-A22O-01A-11D-A17V-08	1149756	0.02
TCGA-EM-A2CN-01A-11D-A19J-08	1109790	0.01
TCGA-EM-A2CP-01A-11D-A17V-08	1162560	0.01
TCGA-EM-A2OV-01A-11D-A202-08	1030290	0.00
TCGA-EM-A2OW-01A-11D-A202-08	1076503	0.00
TCGA-EM-A3AL-01A-11D-A202-08	594497	0.00
TCGA-EM-A3AQ-01A-11D-A20C-08	826564	0.00
TCGA-EM-A3FL-01A-11D-A21A-08	1026406	0.01
TCGA-EM-A3FQ-01A-11D-A21A-08	687926	0.00
TCGA-EM-A3FR-01A-11D-A21Z-08	1183420	0.00
TCGA-EM-A3FR	1183420	0.00
TCGA-EO-A1Y8-01A-11D-A159-09	851384	0.21
TCGA-EP-A26S-01A-11D-A16V-10	651130	0.01
TCGA-EP-A2KA-01A-11D-A183-10	803837	0.04
TCGA-EP-A2KB-01A-11D-A183-10	863016	0.72
TCGA-EQ-5647-01A-01D-1600-08	1017176	0.27
TCGA-EQ-5647	1017176	0.27
TCGA-ER-A19D-06A-11D-A197-08	690684	0.03
TCGA-ER-A19D	690684	0.03
TCGA-ER-A19E-06A-11D-A197-08	683161	0.29
TCGA-ER-A19E	683161	0.29
TCGA-ER-A19J-06A-11D-A196-08	479365	0.80
TCGA-ER-A19L-06A-12D-A197-08	683437	0.18
TCGA-ER-A19L	683437	0.18
TCGA-ER-A19T-01A-11D-A19A-08	467891	0.23
TCGA-ER-A19T	467891	0.23
TCGA-ER-A2NF-01A-11D-A19A-08	618303	0.01
TCGA-ER-A2NF	618303	0.01
TCGA-ER-A3ES-06A-11D-A20D-08	528621	0.02
TCGA-ES-A2HS-01A-11D-A183-10	878106	0.08
TCGA-ES-A2HT-01A-12D-A183-10	751372	0.00
TCGA-ET-A2N1-01A-11D-A18F-08	658208	0.25
TCGA-ET-A3DV-01A-12D-A202-08	637917	0.00
TCGA-ET-A4KN-01A-11D-A257-08	1083022	0.00
TCGA-EW-A1J5-01A-11D-A13L-09	880272	0.15
TCGA-EW-A1PB-01A-11D-A142-09	814837	0.02
TCGA-EW-A1PC-01B-11D-A21Q-09	805901	1.47
TCGA-EW-A1PH-01A-11D-A17G-09	894635	0.66
TCGA-EW-A3U0-01A-11D-A228-09	942779	0.01
TCGA-EX-A1H5-01A-31D-A34H-09	601905	0.23
TCGA-EY-A1GS-01A-11D-A13L-09	841775	0.82
TCGA-EY-A1GW-01A-22D-A13L-09	993174	0.83
TCGA-EZ-7264-01A-11D-2024-08	645438	0.01
TCGA-F1-6177-01A-11D-1800-08	413874	15.83
TCGA-FD-A3N5-01A-11D-A21A-08	723027	0.04
TCGA-FD-A3N5	723027	0.04
TCGA-FD-A3N6-01A-11D-A21A-08	1004938	0.16
TCGA-FD-A3N6	1004938	0.16
TCGA-FE-A22Z-01A-11D-A35R-08	832721	0.00
TCGA-FE-A22Z	832721	0.00
TCGA-FE-A233-01A-11D-A33C-08	1140249	0.00
TCGA-FE-A233	1140249	0.00
TCGA-FE-A3PD-01A-11D-A21Z-08	645389	0.00
TCGA-FE-A3PD	645389	0.00
TCGA-FF-8041-01A-11D-2210-10	685855	0.09
TCGA-FF-8043-01A-11D-2210-10	729122	0.90
TCGA-FF-8046-01A-11D-2210-10	755369	0.02
TCGA-FF-8061-01A-11D-2210-10	671454	0.28
TCGA-FG-5964-01A-11D-1705-08	668784	0.00
TCGA-FG-8182-01A-11D-2253-08	817993	0.00
TCGA-FK-A3S3-01A-11D-A22D-08	673813	0.00
TCGA-FK-A3SD-01A-11D-A22D-08	1090517	0.01
TCGA-FK-A3SE-01A-11D-A22D-08	577720	0.01
TCGA-FP-7998-01A-11D-2201-08	891683	0.00
TCGA-FS-A1ZD-06A-11D-A197-08	645078	0.12
TCGA-FS-A1ZD	645078	0.12
TCGA-FS-A1ZK-06A-11D-A197-08	591559	0.59
TCGA-FS-A1ZK	591559	0.59
TCGA-FS-A1ZP-06A-11D-A197-08	699858	0.04
TCGA-FS-A1ZP	699858	0.04
TCGA-FS-A1ZU-06A-12D-A196-08	624385	0.06
TCGA-FT-A3EE-01A-11D-A202-08	593177	0.02
TCGA-FT-A3EE	593177	0.02
TCGA-FV-A23B-01A-11D-A16V-10	753680	0.04
TCGA-FV-A2QQ-01A-11D-A22F-10	862703	0.00
TCGA-FV-A3R3-01A-11D-A22F-10	858852	0.00
TCGA-FV-A495-01A-11D-A25V-10	688042	0.00
TCGA-FV-A4ZQ-01A-11D-A25V-10	689942	0.02
TCGA-FX-A2QS-01A-11D-A21Q-09	701315	0.33
TCGA-FX-A3NJ-01A-11D-A21Q-09	776645	0.01
TCGA-FX-A3RE-01A-11D-A228-09	731200	0.02
TCGA-FX-A48G-01A-11D-A24N-09	910830	0.20
TCGA-FY-A2QD-01A-11D-A19J-08	1050442	0.00
TCGA-G3-A25T-01A-11D-A16V-10	694092	0.04
TCGA-G3-A25V-01A-11D-A16V-10	673562	0.00
TCGA-G9-6336-01A-11D-1786-08	848722	0.00
TCGA-G9-6336	848722	0.00
TCGA-G9-6365-01A-11D-1786-08	910314	0.00
TCGA-G9-6365	910314	0.00
TCGA-G9-6370-01A-11D-1786-08	866681	0.01
TCGA-G9-6370	866681	0.01
TCGA-G9-7522-01A-11D-2260-08	765958	0.00
TCGA-GD-A2C5-01A-12D-A17V-08	599154	0.00
TCGA-GD-A2C5	599154	0.00
TCGA-GI-A2C9-01A-11D-A21Q-09	741910	0.21
TCGA-GL-A4EM-01A-11D-A25F-10	896757	0.00
TCGA-GM-A2DF-01A-11D-A17W-09	894624	0.00
TCGA-GN-A262-06A-11D-A196-08	655599	0.39
TCGA-GN-A264-06A-11D-A196-08	730590	0.11
TCGA-GN-A266-06A-11D-A197-08	623187	0.02
TCGA-GN-A266	623187	0.02
TCGA-GN-A26C-01A-11D-A19A-08	825506	0.01
TCGA-H4-A2HQ-01A-11D-A17V-08	587157	0.25
TCGA-H4-A2HQ	587157	0.25
TCGA-HB-A43Z-01A-11D-A24N-09	740114	1.88
TCGA-HB-A5W3-01A-11D-A29N-09	750268	0.02
TCGA-HC-7075-01A-11D-1961-08	772518	0.00
TCGA-HC-7075	772518	0.00
TCGA-HC-7079-01A-11D-1961-08	853087	0.00
TCGA-HC-7079	853087	0.00
TCGA-HC-7233-01A-11D-2114-08	908154	0.01
TCGA-HC-7233	908154	0.01
TCGA-HC-7737-01A-11D-2114-08	783202	0.01
TCGA-HC-7740-01A-11D-2114-08	699767	0.04
TCGA-HC-7744-01A-11D-2114-08	725730	0.29
TCGA-HC-8258-01A-11D-2260-08	861160	0.02
TCGA-HD-7753-01A-11D-A32X-10	995391	0.04
TCGA-HE-A5NF-01A-11D-A26P-10	930394	0.00
TCGA-HE-A5NH-01A-11D-A26P-10	513654	0.00
TCGA-HE-A5NI-01A-11D-A26P-10	867725	0.00
TCGA-HE-A5NJ-01A-11D-A26P-10	482074	0.03
TCGA-HE-A5NK-01A-11D-A26P-10	686680	0.01
TCGA-HE-A5NL-01A-11D-A26P-10	415180	0.00
TCGA-HF-7136-01A-11D-2053-08	565108	0.81
TCGA-HI-7169-01A-11D-2114-08	881808	0.00
TCGA-HI-7169	881808	0.00
TCGA-HP-A5MZ-01A-21D-A27I-10	875889	0.00
TCGA-HT-7602-01A-21D-2086-08	684808	0.00
TCGA-HT-7689-01A-11D-2253-08	536031	0.00
TCGA-HT-7695-01A-11D-2253-08	580531	0.00
TCGA-HU-8608-01A-11D-2394-08	843408	0.00
TCGA-HU-A4G6-01A-11D-A24D-08	992785	0.09
TCGA-HU-A4H0-01A-11D-A25D-08	1040179	0.01
TCGA-HW-7486-01A-11D-2024-08	1100306	0.00
TCGA-HW-7487-01A-11D-2024-08	581388	0.01
TCGA-IA-A40X-01A-11D-A25F-10	964208	0.00
TCGA-IE-A4EI-01A-11D-A24N-09	792943	1.44
TCGA-IE-A4EK-01A-11D-A24N-09	743050	0.02
TCGA-IF-A4AJ-01A-11D-A24N-09	718360	0.25
TCGA-IK-7675-01A-11D-2086-08	832110	0.18
TCGA-IN-7806-01A-11D-2053-08	854769	0.06
TCGA-IS-A3K7-01A-11D-A21Q-09	818981	0.04
TCGA-IS-A3KA-01A-11D-A21Q-09	947999	0.04
TCGA-IW-A3M4-01A-11D-A21Q-09	717721	0.03
TCGA-IW-A3M5-01A-22D-A21Q-09	781152	0.64
TCGA-KL-8323-01A-21D-2310-10	775514	0.52
TCGA-KL-8325-01A-11D-2310-10	741658	1.11
TCGA-KL-8326-01A-11D-2310-10	752640	0.00
TCGA-KL-8327-01A-11D-2310-10	612545	0.38
TCGA-KL-8328-01A-11D-2310-10	795022	1.12
TCGA-KL-8330-01A-11D-2310-10	836589	2.93
TCGA-KL-8331-01A-11D-2310-10	865364	0.91
TCGA-KL-8332-01A-11D-2310-10	835999	0.10
TCGA-KL-8333-01A-11D-2310-10	780755	0.01
TCGA-KL-8337-01A-11D-2310-10	849162	1.11
TCGA-KL-8340-01A-11D-2310-10	860792	0.19
TCGA-KL-8341-01A-11D-2310-10	783948	1.33
TCGA-KL-8342-01A-11D-2310-10	740206	0.08
TCGA-KL-8343-01A-11D-2310-10	830852	0.01
TCGA-KL-8344-01A-11D-2310-10	801912	0.01
TCGA-KL-8346-01A-11D-2310-10	698435	1.59
TCGA-KM-8438-01A-11D-2310-10	765367	0.20
TCGA-KM-8439-01A-11D-2310-10	819015	0.01
TCGA-KM-8440-01A-11D-2310-10	930442	0.97
TCGA-KM-8441-01A-11D-2310-10	935895	0.00
TCGA-KM-8442-01A-11D-2310-10	815553	1.19
TCGA-KM-8443-01A-11D-2310-10	860854	1.28
TCGA-KM-8476-01A-11D-2310-10	762562	0.49
TCGA-KM-8477-01A-11D-2310-10	741020	0.00
TCGA-KM-8639-01A-11D-2397-10	847203	0.00
TCGA-KN-8418-01A-11D-2310-10	824658	0.89
TCGA-KN-8419-01A-11D-2310-10	798606	0.01
TCGA-KN-8421-01A-11D-2310-10	665448	0.77
TCGA-KN-8422-01A-11D-2310-10	766810	0.09
TCGA-KN-8424-01A-11D-2310-10	754767	0.12
TCGA-KN-8425-01A-11D-2310-10	787353	0.13
TCGA-KN-8426-01A-11D-2310-10	821131	0.41
TCGA-KN-8427-01A-11D-2310-10	840367	0.17
TCGA-KN-8428-01A-11D-2310-10	820472	1.16
TCGA-KN-8429-01A-11D-2310-10	617811	0.57
TCGA-KN-8430-01A-11D-2310-10	826002	0.39
TCGA-KN-8431-01A-11D-2310-10	779493	0.17
TCGA-KN-8432-01A-11D-2310-10	787094	0.62
TCGA-KN-8434-01A-11D-2310-10	725546	0.04
TCGA-KN-8435-01A-11D-2310-10	660373	1.37
TCGA-KO-8405-01A-11D-2310-10	833106	0.01
TCGA-KO-8406-01A-11D-2310-10	656771	0.60
